nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 30.0
stiffness 70.0
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
Steps: 0000 | Opt Step: 0000 | Reward 0.0159 | Action Var 0.1000
Steps: 2300 | Opt Step: 0075 | Reward -1.7686 | Action Var 0.0770
Steps: 2400 | Opt Step: 0075 | Reward -1.7688 | Action Var 0.0760
Steps: 2500 | Opt Step: 0075 | Reward -1.7687 | Action Var 0.0750
Steps: 2600 | Opt Step: 0075 | Reward -1.7688 | Action Var 0.0740
Steps: 2700 | Opt Step: 0075 | Reward -1.7684 | Action Var 0.0730
Steps: 2800 | Opt Step: 0075 | Reward -1.7685 | Action Var 0.0720
Steps: 2900 | Opt Step: 0075 | Reward -1.7689 | Action Var 0.0710
Steps: 3000 | Opt Step: 0075 | Reward -1.7686 | Action Var 0.0700
Steps: 3100 | Opt Step: 0075 | Reward -1.7685 | Action Var 0.0690
Steps: 3200 | Opt Step: 0075 | Reward -1.7680 | Action Var 0.0680
Steps: 3300 | Opt Step: 0075 | Reward -1.7682 | Action Var 0.0670
Steps: 3400 | Opt Step: 0075 | Reward -1.7683 | Action Var 0.0660
Steps: 3500 | Opt Step: 0075 | Reward -1.7679 | Action Var 0.0650
Steps: 3600 | Opt Step: 0075 | Reward -1.7681 | Action Var 0.0640
Steps: 3700 | Opt Step: 0075 | Reward -1.7672 | Action Var 0.0630
Steps: 3800 | Opt Step: 0075 | Reward -1.7673 | Action Var 0.0620
Steps: 3900 | Opt Step: 0075 | Reward -1.7675 | Action Var 0.0610
Steps: 4000 | Opt Step: 0075 | Reward -1.7677 | Action Var 0.0600
Steps: 4100 | Opt Step: 0075 | Reward -1.7675 | Action Var 0.0590
Steps: 4200 | Opt Step: 0075 | Reward -1.7673 | Action Var 0.0580
Steps: 4300 | Opt Step: 0075 | Reward -1.7678 | Action Var 0.0570
Training
Steps: 4400 | Opt Step: 0150 | Reward -1.7870 | Action Var 0.0560
Steps: 4500 | Opt Step: 0150 | Reward -1.8073 | Action Var 0.0550
Steps: 4600 | Opt Step: 0150 | Reward -1.8068 | Action Var 0.0540
Steps: 4700 | Opt Step: 0150 | Reward -1.8067 | Action Var 0.0530
Steps: 4800 | Opt Step: 0150 | Reward -1.8069 | Action Var 0.0520
Steps: 4900 | Opt Step: 0150 | Reward -1.8071 | Action Var 0.0510
Steps: 5000 | Opt Step: 0150 | Reward -1.8072 | Action Var 0.0500
Steps: 5100 | Opt Step: 0150 | Reward -1.8074 | Action Var 0.0490
Steps: 5200 | Opt Step: 0150 | Reward -1.8065 | Action Var 0.0480
Steps: 5300 | Opt Step: 0150 | Reward -1.8063 | Action Var 0.0470
Steps: 5400 | Opt Step: 0150 | Reward -1.8073 | Action Var 0.0460
Steps: 5500 | Opt Step: 0150 | Reward -1.8070 | Action Var 0.0450
Steps: 5600 | Opt Step: 0150 | Reward -1.8066 | Action Var 0.0440
Steps: 5700 | Opt Step: 0150 | Reward -1.8070 | Action Var 0.0430
Steps: 5800 | Opt Step: 0150 | Reward -1.8068 | Action Var 0.0420
Steps: 5900 | Opt Step: 0150 | Reward -1.8062 | Action Var 0.0410
Steps: 6000 | Opt Step: 0150 | Reward -1.8068 | Action Var 0.0400
Steps: 6100 | Opt Step: 0150 | Reward -1.8068 | Action Var 0.0390
Steps: 6200 | Opt Step: 0150 | Reward -1.8065 | Action Var 0.0380
Steps: 6300 | Opt Step: 0150 | Reward -1.8063 | Action Var 0.0370
Steps: 6400 | Opt Step: 0150 | Reward -1.8069 | Action Var 0.0360
Steps: 6500 | Opt Step: 0150 | Reward -1.8059 | Action Var 0.0350
Training
Steps: 6600 | Opt Step: 0225 | Reward -1.8060 | Action Var 0.0340
Steps: 6700 | Opt Step: 0225 | Reward -1.8060 | Action Var 0.0330
Steps: 6800 | Opt Step: 0225 | Reward -1.8061 | Action Var 0.0320
Steps: 6900 | Opt Step: 0225 | Reward -1.8058 | Action Var 0.0310
Steps: 7000 | Opt Step: 0225 | Reward -1.8061 | Action Var 0.0300
Steps: 7100 | Opt Step: 0225 | Reward -1.8051 | Action Var 0.0290
Steps: 7200 | Opt Step: 0225 | Reward -1.8060 | Action Var 0.0280
Steps: 7300 | Opt Step: 0225 | Reward -1.8056 | Action Var 0.0270
Steps: 7400 | Opt Step: 0225 | Reward -1.8054 | Action Var 0.0260
Steps: 7500 | Opt Step: 0225 | Reward -1.8060 | Action Var 0.0250
Steps: 7600 | Opt Step: 0225 | Reward -1.8050 | Action Var 0.0240
Steps: 7700 | Opt Step: 0225 | Reward -1.8056 | Action Var 0.0230
Steps: 7800 | Opt Step: 0225 | Reward -1.8047 | Action Var 0.0220
Steps: 7900 | Opt Step: 0225 | Reward -1.8054 | Action Var 0.0210
Steps: 8000 | Opt Step: 0225 | Reward -1.8053 | Action Var 0.0200
Steps: 8100 | Opt Step: 0225 | Reward -1.8058 | Action Var 0.0190
Steps: 8200 | Opt Step: 0225 | Reward -1.8055 | Action Var 0.0180
Steps: 8300 | Opt Step: 0225 | Reward -1.8053 | Action Var 0.0170
